"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14983","get started link","firefox","Tue Nov 11 17:00:23 IST 2025","passed","Tue Nov 11 17:00:38 IST 2025","","example.spec.js","",""
"","6361","locators","webkit","Tue Nov 11 17:00:49 IST 2025","passed","Tue Nov 11 17:00:55 IST 2025","","locate elements.spec.js","",""
"","2537","has title","webkit","Tue Nov 11 17:00:48 IST 2025","passed","Tue Nov 11 17:00:50 IST 2025","","example.spec.js","",""
"","7062","locators","chromium","Tue Nov 11 17:00:16 IST 2025","passed","Tue Nov 11 17:00:23 IST 2025","","locate elements.spec.js","",""
"","8139","home","firefox","Tue Nov 11 17:00:25 IST 2025","passed","Tue Nov 11 17:00:33 IST 2025","","home.spec.js","",""
"","3434","home","webkit","Tue Nov 11 17:00:47 IST 2025","passed","Tue Nov 11 17:00:50 IST 2025","","home.spec.js","",""
"","5978","flipcart","webkit","Tue Nov 11 17:00:46 IST 2025","passed","Tue Nov 11 17:00:52 IST 2025","","flipcarttest.spec.js","",""
"","1544","has title","chromium","Tue Nov 11 17:00:16 IST 2025","passed","Tue Nov 11 17:00:18 IST 2025","","example.spec.js","",""
"","9545","amazon","firefox","Tue Nov 11 17:00:23 IST 2025","passed","Tue Nov 11 17:00:33 IST 2025","","amazontest.spec.js","",""
"","2494","get started link","chromium","Tue Nov 11 17:00:16 IST 2025","passed","Tue Nov 11 17:00:19 IST 2025","","example.spec.js","",""
"","5821","amazon","chromium","Tue Nov 11 17:00:16 IST 2025","passed","Tue Nov 11 17:00:22 IST 2025","","amazontest.spec.js","",""
"","2384","home","chromium","Tue Nov 11 17:00:16 IST 2025","passed","Tue Nov 11 17:00:19 IST 2025","","home.spec.js","",""
"","4235","flipcart","chromium","Tue Nov 11 17:00:16 IST 2025","passed","Tue Nov 11 17:00:21 IST 2025","","flipcarttest.spec.js","",""
"","4073","get started link","webkit","Tue Nov 11 17:00:47 IST 2025","passed","Tue Nov 11 17:00:51 IST 2025","","example.spec.js","",""
"","6658","amazon","webkit","Tue Nov 11 17:00:40 IST 2025","passed","Tue Nov 11 17:00:47 IST 2025","","amazontest.spec.js","",""
"","11571","flipcart","firefox","Tue Nov 11 17:00:24 IST 2025","passed","Tue Nov 11 17:00:36 IST 2025","","flipcarttest.spec.js","",""
"","19145","locators","firefox","Tue Nov 11 17:00:26 IST 2025","passed","Tue Nov 11 17:00:45 IST 2025","","locate elements.spec.js","",""
"","4385","has title","firefox","Tue Nov 11 17:00:23 IST 2025","passed","Tue Nov 11 17:00:28 IST 2025","","example.spec.js","",""
